C0000052	['1,4-alpha-Glucan Branching Enzyme']
C0014143	['endodeoxyribonuclease']
C0014154	[]
C0014155	[]
C0014156	[]
C0014157	[]
C0014158	[]
C0014159	[]
C0014184	[]
C0014185	[]
C0014186	[]
C0014187	[]
C0014188	[]
C0014189	[]
C0014190	[]
C0014191	[]
C0014192	[]
C0014193	[]
C0014194	[]
C0014195	[]
C0014196	[]
C0014197	[]
C0014199	[]
C0014200	[]
C0014201	[]
C0014202	[]
C0014203	[]
C0014204	[]
C0014205	[]
C0014207	[]
C0014208	[]
C0014209	[]
C0014210	[]
C0014211	[]
C0014212	[]
C0014213	[]
C0014215	[]
C0014216	[]
C0014217	[]
C0014220	[]
C0014221	[]
C0014222	[]
C0014223	[]
C0014225	[]
C0014226	[]
C0014229	[]
C0014230	['endonuclease']
C0014240	[]
C0014241	['Endoribonucleases']
